Game,Score,Record,Time
1,0,0,7
2,1,1,3
3,1,1,4
4,1,1,5
5,0,1,1
6,1,1,10
7,0,1,5
8,0,1,1
9,0,1,4
10,1,1,4
11,0,1,2
12,0,1,2
13,1,1,1
14,1,1,1
15,2,2,3
16,0,2,2
17,2,2,9
18,0,2,2
19,0,2,5
20,1,2,2
21,0,2,2
22,1,2,4
23,0,2,2
24,1,2,2
25,0,2,2
26,0,2,4
27,1,2,2
28,0,2,1
29,0,2,2
30,1,2,9
31,2,2,4
32,0,2,1
33,1,2,7
34,1,2,3
35,0,2,1
36,1,2,2
37,0,2,1
38,0,2,1
39,0,2,1
40,1,2,9
41,0,2,2
42,0,2,1
43,0,2,4
44,0,2,4
45,0,2,6
46,1,2,10
47,0,2,0
48,2,2,10
49,1,2,6
50,0,2,1
51,1,2,3
52,0,2,0
53,0,2,1
54,0,2,3
55,0,2,2
56,1,2,3
57,0,2,4
58,1,2,3
59,0,2,8
60,2,2,3
61,0,2,4
62,1,2,5
63,1,2,3
64,0,2,2
65,0,2,2
66,0,2,1
67,1,2,0
68,0,2,7
69,0,2,6
70,0,2,1
71,0,2,5
72,1,2,3
73,0,2,8
74,0,2,4
75,1,2,1
76,0,2,1
77,3,3,7
78,1,3,2
79,0,3,1
80,0,3,3
81,0,3,1
82,0,3,3
83,1,3,10
84,1,3,5
85,0,3,4
86,0,3,2
87,3,3,9
88,0,3,1
89,0,3,0
90,1,3,5
91,1,3,5
92,2,3,8
93,0,3,4
94,1,3,2
95,0,3,1
96,0,3,2
97,0,3,3
98,0,3,1
99,0,3,7
100,0,3,3
101,1,3,2
102,0,3,1
103,1,3,1
104,1,3,0
105,2,3,8
106,0,3,0
107,1,3,2
108,0,3,1
109,0,3,2
110,0,3,0
111,0,3,4
112,0,3,2
113,1,3,3
114,1,3,1
115,0,3,4
116,0,3,1
117,0,3,3
118,0,3,1
119,1,3,2
120,1,3,3
121,0,3,3
122,2,3,3
123,0,3,1
124,0,3,0
125,1,3,7
126,0,3,3
127,0,3,0
128,0,3,1
129,0,3,1
130,0,3,1
131,1,3,1
132,0,3,2
133,1,3,5
134,1,3,3
135,1,3,1
136,1,3,2
137,0,3,1
138,0,3,2
139,0,3,0
140,0,3,1
141,0,3,1
142,0,3,8
143,0,3,1
144,2,3,3
145,0,3,3
146,0,3,1
147,0,3,1
148,1,3,0
149,2,3,8
150,0,3,1
151,0,3,1
152,0,3,2
153,1,3,6
154,0,3,4
155,1,3,3
156,0,3,2
157,1,3,1
158,1,3,1
159,0,3,0
160,0,3,1
161,1,3,10
162,1,3,2
163,0,3,0
164,1,3,1
165,0,3,0
166,0,3,1
167,0,3,2
168,0,3,0
169,1,3,1
170,1,3,2
171,0,3,10
172,0,3,3
173,0,3,2
174,1,3,10
175,1,3,2
176,0,3,2
177,1,3,2
178,2,3,3
179,1,3,3
180,1,3,1
181,0,3,2
182,0,3,2
183,0,3,3
184,0,3,3
185,1,3,1
186,0,3,2
187,0,3,2
188,0,3,2
189,3,3,3
190,1,3,2
191,0,3,3
192,1,3,2
193,1,3,0
194,0,3,0
195,0,3,2
196,0,3,2
197,3,3,2
198,0,3,2
199,1,3,1
200,1,3,3
201,1,3,0
202,0,3,1
203,1,3,2
204,0,3,0
205,0,3,3
206,0,3,1
207,1,3,6
208,1,3,3
209,0,3,0
210,0,3,0
211,0,3,1
212,1,3,2
213,0,3,0
214,0,3,3
215,0,3,1
216,0,3,1
217,1,3,4
218,0,3,0
219,0,3,5
220,1,3,1
221,0,3,0
222,0,3,1
223,1,3,3
224,0,3,2
225,0,3,2
226,1,3,3
227,0,3,2
228,1,3,1
229,0,3,1
230,0,3,1
231,0,3,1
232,0,3,0
233,1,3,3
234,0,3,0
235,0,3,1
236,1,3,1
237,0,3,2
238,0,3,1
239,0,3,2
240,0,3,1
241,0,3,0
242,1,3,2
243,0,3,1
244,1,3,0
245,1,3,2
246,0,3,0
247,0,3,3
248,0,3,1
249,0,3,0
250,1,3,1
251,0,3,1
252,0,3,0
253,0,3,0
254,0,3,3
255,0,3,0
256,0,3,2
257,1,3,2
258,1,3,2
259,1,3,1
260,0,3,3
261,0,3,3
262,1,3,0
263,0,3,0
264,1,3,3
265,0,3,2
266,0,3,1
267,0,3,1
268,0,3,0
269,0,3,1
270,0,3,2
271,1,3,1
272,0,3,0
273,0,3,0
274,1,3,10
275,0,3,2
276,1,3,1
277,0,3,5
278,0,3,0
279,2,3,1
280,0,3,0
281,0,3,1
282,0,3,1
283,0,3,0
284,0,3,2
